message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.223864098";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.206533901";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.198114451";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.191538888";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.182390106";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.175461698";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.166479721";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.159339889";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.150492090";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.142986445";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.134384454";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.127219876";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.118624292";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.115089753";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.110635467";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.102808946";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.099214335";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.094807708";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.086949840";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.083002431";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.078910118";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.070844826";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.066983304";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.062907836";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.054700042";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.050771777";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.047007090";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.038414575";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.035696654";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.031049778";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.022632623";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.019665652";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999557.015191213";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999557.006409898";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999557.002717512";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.998498367";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.990452090";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.986978967";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.982860325";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.974566799";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.971142827";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.967226400";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.958516675";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.955098470";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.911170646";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.907485400";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.903544133";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.895269511";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.891728623";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.887448877";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.879135696";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.779488379";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.747167000";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.743682512";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.699056468";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.695185899";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.686982494";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.682809069";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.664158299";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.654707902";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.651681597";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.647317940";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.639197407";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.635505910";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.623020054";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.606540038";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.599446449";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.590931076";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.587058166";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.582616975";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.575017105";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.571069272";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.566810741";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.558204524";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.555948246";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.551025360";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.542346009";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.539669088";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.535114732";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.526617972";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.523488826";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
